INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY
51,52,VAST_2004+00A,11162,0,11106,IMAGED,20 04 08,+00 00 00,301.0333333333333,0.0,41.44528129119489,-16.116333191144783,-45.0,5085432516.796799,726.5894398968505,726.5894400000001,36,5087921548.070999,136518053,14.39124798400711,11.205127585728,76.6841679290062,-0.021790560334920883,3.0364859104156494,319.8207092285156,303.9003572129444,92.32440098553683,213.54942321777344,1208.2105712890625,5087931919.0,5276
52,53,VAST_2004-06A,11163,0,11106,IMAGED,20 04 08,-06 17 59,301.0333333333333,-6.299722222222222,35.581650998036565,-19.022969467650483,-45.0,5085433283.199358,726.5894398968505,726.5894400000001,36,5087925497.199,136538923,13.485113826345144,10.810581408410581,71.0687270778161,-0.04894746467471123,2.9619157314300537,284.6240539550781,273.38634267968087,82.41539098972962,182.79295349121094,968.642822265625,5087935703.0,5549
53,54,VAST_2028+00A,11164,0,11106,IMAGED,20 28 58,+00 00 00,307.2416666666666,0.0,44.608985731924754,-21.55572977962358,-45.0,5085434059.555199,716.636159447937,716.6361600000001,36,5087925552.786,136527782,14.390823415873426,11.203221521261735,76.5394130645547,-0.010471099987626076,0.7841784358024597,276.7493896484375,263.90598405221755,73.93742284499653,199.2350616455078,690.2554931640625,5087935719.0,5417
54,55,VAST_2028-06A,11165,0,11106,IMAGED,20 28 58,-06 17 59,307.2416666666666,-6.299722222222222,38.57445958349869,-24.533318258047615,-45.0,5085434825.957758,716.6361604016113,716.6361600000001,36,5087932848.132999,136530944,13.507648446364703,10.83630391660674,70.9929253438417,-0.009695196524262428,1.6480051279067993,281.9358825683594,267.57419201212514,76.64345998000084,198.01820373535156,883.1895751953125,5087945133.0,5197
55,56,VAST_2053+00A,11166,0,11106,IMAGED,20 53 48,+00 00 00,313.44999999999993,0.0,48.018335761633324,-26.93080127530866,-45.0,5085435582.407038,726.5894408505249,726.5894400000001,36,5087933141.794,136549168,14.366234391982163,11.192055245491787,76.4744568321712,-0.023925533518195152,3.4707062244415283,293.51300048828125,277.2057280856547,82.26744573127903,211.42562866210938,1197.5838623046875,5087945115.0,5132
56,57,VAST_2053-06A,11167,0,11106,IMAGED,20 53 48,-06 17 59,313.44999999999993,-6.299722222222222,41.76673327387012,-30.0141594544022,-45.0,5085436408.529279,726.5894398968505,726.5894400000001,36,5087933177.044,136539758,13.46311991956716,10.796845800286007,71.0144528619205,-0.0177447609603405,3.0724918842315674,265.3773193359375,253.97762037867653,76.72807765301408,169.0850372314453,984.3056640625,5087945151.0,5584
57,58,VAST_2118+00A,11168,0,11106,IMAGED,21 18 37,+00 00 00,319.65416666666664,0.0,51.76405031999858,-32.21229130086637,-45.0,5085437244.604798,726.5894398968505,716.6361600000001,36,5087933372.43,136500229,14.327331065254945,11.176544654156809,76.1317935064734,-0.017255650833249092,1.8050504922866821,278.3892822265625,266.0081124457754,71.45230248252838,195.27865600585938,630.9396362304688,5087945125.0,5362
58,59,VAST_2118-06A,11169,0,11106,IMAGED,21 18 37,-06 17 59,319.65416666666664,-6.299722222222222,45.24969686634687,-35.44166608078137,-45.0,5085438011.007359,726.5894398968505,726.5894400000001,36,5087933343.274,136527763,13.484175813224244,10.827994053769775,70.7375920727087,-0.019776422530412674,1.8002792596817017,255.9761505126953,245.3373122996976,70.34359810432582,169.09396362304688,642.6246948242188,5087945165.0,5496
59,60,VAST_2143+00A,11170,0,11106,IMAGED,21 43 27,+00 00 00,325.86249999999995,0.0,55.969876356425814,-37.373239429749894,-45.0,5085438787.363198,726.5894398968505,726.5894400000001,36,5087933686.627,136535073,14.32207591361773,11.179716920882532,75.937221916175,-0.010271040722727776,2.1749110221862793,287.91143798828125,273.6395047201691,80.57213219023335,191.4049835205078,744.5318603515625,5087945125.0,5283
60,61,VAST_2143-06A,11171,0,11106,IMAGED,21 43 27,-06 17 59,325.86249999999995,-6.299722222222222,49.152089846288725,-40.79648790639429,-45.0,5085439553.7657585,726.5894398968505,726.5894400000001,36,5087933535.185999,136543435,13.470718404832704,10.817511162791293,70.7650201059634,-0.011225954629480839,1.0558443069458008,252.54739379882812,241.65085556127207,68.30425565662581,177.82139587402344,652.5775756835938,5087945194.0,5699
61,62,VAST_2208+00A,11172,0,11106,IMAGED,22 08 17,+00 00 00,332.0708333333333,0.0,60.78721453997227,-42.36349901223629,-45.0,5085440320.168319,726.5894389431762,726.5894400000001,36,5087936741.927001,136557801,14.307279617841983,11.169732919596695,75.7800988494675,-0.01218328531831503,4.090910911560059,298.64300537109375,279.96118656893134,89.58933898730092,198.60025024414062,963.9197998046875,5087948118.0,5109
62,63,VAST_2208-06A,11173,0,11106,IMAGED,22 08 17,-06 17 59,332.0708333333333,-6.299722222222222,53.6422801714994,-46.03778393219217,-45.0,5085441086.570878,726.5894398968505,716.6361600000001,36,5087936768.62,136548622,13.478302637973755,10.828865658389184,70.683305621903,-0.011693844571709633,1.4437190294265747,259.8185119628906,246.16003907952705,75.61608892910301,179.74642944335938,644.3663330078125,5087948203.0,5772
63,64,VAST_2233+00A,11174,0,11106,IMAGED,22 33 06,+00 00 00,338.2749999999999,0.0,66.41135669256671,-47.11477651205654,-45.0,5085441862.926719,716.636159447937,716.6361600000001,36,5087936828.961,136562352,14.27191314118423,11.168806850068247,75.67968378171,-0.011534623801708221,1.835367202758789,277.9020690917969,262.26323759275215,91.2811786798131,189.89012145996094,3082.6552734375,5087948288.0,5646
